x,y,label,path
15.0866,3.5977736,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p001.png
35.947998,-17.726946,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p002.png
50.833035,-23.122667,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p003.png
43.826775,-14.385168,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p004.png
64.40596,-0.75881606,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p005.png
43.63252,-15.02377,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p006.png
59.851997,-24.079824,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p007.png
40.614136,-16.591867,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p008.png
58.26687,-13.671671,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p009.png
48.22627,-20.248236,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p010.png
61.46011,-11.560161,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p011.png
50.699154,-22.846672,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p012.png
64.41013,-0.7515751,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p013.png
42.947353,-18.201618,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p014.png
45.144505,-27.270864,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p015.png
47.165882,-19.599787,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p016.png
40.91724,-25.852346,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p017.png
44.775387,-8.510279,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p018.png
45.42812,-26.600477,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p019.png
37.53276,-16.48952,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p020.png
44.982956,-25.982159,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p021.png
55.008015,-10.307626,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p022.png
9.805349,-21.74053,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p023.png
6.563034,-30.992716,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p024.png
11.208323,-31.746965,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p025.png
16.940828,2.2302554,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p001.png
30.437702,-18.510593,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p002.png
31.100391,-16.796244,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p003.png
35.798042,-16.839584,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p004.png
38.422768,-28.67467,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p005.png
36.321575,-18.76821,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p006.png
32.439884,-16.674215,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p007.png
